"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"27693",8,"LT","Irv Pankey",27,"5",12,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1985
"27694",9,"LG","Kent Hill*",28,"6",16,"","Los Angeles Rams / 1st / 26th pick / 1979","ram",1985
"27695",10,"C","Doug Smith*",29,"7",13,"1 fumble recovered","","ram",1985
"27696",11,"RG","Dennis Harrah*",32,"10",10,"","Los Angeles Rams / 1st / 11th pick / 1975","ram",1985
"27697",12,"RT","Jackie Slater*",31,"9",16,"1 fumble recovered","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1985
"27698",14,"LDE","Doug Reed",25,"1",16,"7.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1985
"27699",15,"NT","Charles DeJurnett",33,"9",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","San Diego Chargers / 17th / 418th pick / 1974","ram",1985
"27700",16,"RDE","Reggie Doss",29,"7",15,"2.5 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 7th / 189th pick / 1978","ram",1985
"27701",17,"LOLB","Mel Owens",27,"4",15,"9.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 1st / 9th pick / 1981","ram",1985
"27702",18,"LILB","Carl Ekern",31,"9",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Los Angeles Rams / 5th / 128th pick / 1976","ram",1985
"27703",19,"RILB","Jim Collins*",27,"4",16,"2.0 sacks, 2 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 43rd pick / 1981","ram",1985
"27704",20,"ROLB","Mike Wilcher",25,"2",15,"12.5 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1985
"27705",21,"LCB","Gary Green*",30,"8",16,"1.0 sacks, 6 interceptions, 0 fumbles recovered","Kansas City Chiefs / 1st / 10th pick / 1977","ram",1985
"27706",22,"RCB","LeRoy Irvin*",28,"5",16,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980","ram",1985
"27707",23,"SS","Nolan Cromwell",30,"8",16,"1.0 sacks, 2 interceptions, 4 fumbles recovered","Los Angeles Rams / 2nd / 31st pick / 1977","ram",1985
"27708",24,"FS","Johnnie Johnson",29,"5",15,"0.0 sacks, 5 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 17th pick / 1980","ram",1985
"27709",26,"K","Mike Lansford",27,"3",0,"22 of 29 field goals & 38 of 39 extra points","New York Giants / 12th / 312th pick / 1980","ram",1985
"27710",27,"P","Dale Hatcher*+",22,"Rook",0,"87 punts for a 43.2 average, 1 blocked","Los Angeles Rams / 3rd / 77th pick / 1985","ram",1985
"27711",28,"PR","Henry Ellard",24,"2",16,"37 punt returns for a 13.5 average and 1 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1985
"27712",29,"KR","Ron Brown*+",24,"1",9,"28 kick returns for a 32.8 average and 3 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1985
"27713",2,"QB","Steve Bartkowski",34,"11",6,"61 for 126, 654 yards, 2 td, 3 int, & 6 rushes for 3 yards and 0 td","Atlanta Falcons / 1st / 1st pick / 1975","ram",1986
"27714",3,"RB","Eric Dickerson*+",26,"3",16,"404 rushes for 1,821 yards, 11 td, & 26 catches for 205 yards and 0 td","Los Angeles Rams / 1st / 2nd pick / 1983","ram",1986
"27715",4,"FB","Barry Redden",26,"4",14,"110 rushes for 467 yards, 4 td, & 28 catches for 217 yards and 1 td","Los Angeles Rams / 1st / 14th pick / 1982","ram",1986
"27716",5,"WR","Ron Brown",25,"2",12,"25 catches for 396 yards, 3 td, & 4 rushes for 5 yards and 0 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1986
"27717",6,"WR","Henry Ellard",25,"3",8,"34 catches for 447 yards, 4 td, & 1 rush for -15 yards and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1986
"27718",7,"TE","David Hill",32,"10",15,"14 catches for 202 yards, 1 td","Detroit Lions / 2nd / 46th pick / 1976","ram",1986
"27719",8,"LT","Irv Pankey",28,"6",16,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1986
"27720",9,"LG","Tom Newberry",24,"Rook",14,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1986
"27721",10,"C","Doug Smith*",30,"8",16,"","","ram",1986
"27722",11,"RG","Dennis Harrah*+",33,"11",16,"","Los Angeles Rams / 1st / 11th pick / 1975","ram",1986
"27723",12,"RT","Jackie Slater*",32,"10",16,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1986
"27724",14,"LDE","Doug Reed",26,"2",10,"6.5 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1986
"27725",15,"NT","Shawn Miller",25,"2",16,"5.0 sacks, 0 interceptions, 2 fumbles recovered","","ram",1986
"27726",16,"RDE","Reggie Doss",30,"8",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 7th / 189th pick / 1978","ram",1986
"27727",17,"LOLB","Mel Owens",28,"5",16,"4.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 9th pick / 1981","ram",1986
"27728",18,"LILB","Carl Ekern*",32,"10",13,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 5th / 128th pick / 1976","ram",1986
"27729",19,"RILB","Mark Jerue",26,"3",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","New York Jets / 5th / 135th pick / 1982","ram",1986
"27730",20,"ROLB","Mike Wilcher",26,"3",16,"5.5 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1986
"27731",21,"LCB","Jerry Gray*",24,"1",16,"0.0 sacks, 8 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1986
"27732",22,"RCB","LeRoy Irvin*+",29,"6",15,"0.0 sacks, 6 interceptions, 3 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980","ram",1986
"27733",23,"SS","Nolan Cromwell",31,"9",16,"0.0 sacks, 5 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 31st pick / 1977","ram",1986
"27734",24,"FS","Vince Newsome",25,"3",12,"0.0 sacks, 3 interceptions, 1 fumble recovered","Los Angeles Rams / 4th / 97th pick / 1983","ram",1986
"27735",26,"K","Mike Lansford",28,"4",0,"17 of 24 field goals & 34 of 35 extra points","New York Giants / 12th / 312th pick / 1980","ram",1986
"27736",27,"P","Dale Hatcher",23,"1",0,"97 punts for a 38.6 average, 1 blocked","Los Angeles Rams / 3rd / 77th pick / 1985","ram",1986
"27737",28,"PR","Mickey Sutton",26,"Rook",0,"28 punt returns for a 8.4 average and 0 td","","ram",1986
"27738",29,"KR","Ron Brown",25,"2",12,"36 kick returns for a 22.1 average and 0 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1986
"27739",2,"QB","Jim Everett",24,"1",11,"162 for 302, 2,064 yards, 10 td, 13 int, & 18 rushes for 83 yards and 1 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1987
"27740",3,"RB","Charles White*+",29,"7",12,"324 rushes for 1,374 yards, 11 td, & 23 catches for 121 yards and 0 td","Cleveland Browns / 1st / 27th pick / 1980","ram",1987
"27741",4,"FB","Mike Guman",29,"7",8,"36 rushes for 98 yards, 1 td, & 22 catches for 263 yards and 0 td","Los Angeles Rams / 6th / 154th pick / 1980","ram",1987
"27742",5,"WR","Ron Brown",26,"3",11,"26 catches for 521 yards, 2 td, & 2 rushes for 22 yards and 0 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1987
"27743",6,"WR","Henry Ellard",26,"4",12,"51 catches for 799 yards, 3 td, & 1 rush for 4 yards and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1987
"27744",7,"TE","David Hill",33,"11",12,"11 catches for 105 yards, 0 td","Detroit Lions / 2nd / 46th pick / 1976","ram",1987
"27745",8,"LT","Irv Pankey",29,"7",12,"","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1987
"27746",9,"LG","Tom Newberry",25,"1",12,"","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1987
"27747",10,"C","Doug Smith*",31,"9",12,"","","ram",1987
"27748",11,"RG","Dennis Harrah*",34,"12",8,"","Los Angeles Rams / 1st / 11th pick / 1975","ram",1987
"27749",12,"RT","Jackie Slater*",33,"11",12,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1987
"27750",14,"LDE","Doug Reed",27,"3",12,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1987
"27751",15,"NT","Greg Meisner",28,"6",15,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 63rd pick / 1981","ram",1987
"27752",16,"RDE","Reggie Doss",31,"9",9,"","Los Angeles Rams / 7th / 189th pick / 1978","ram",1987
"27753",17,"LOLB","Mel Owens",29,"6",12,"1.0 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 1st / 9th pick / 1981","ram",1987
"27754",18,"LILB","Carl Ekern",33,"11",11,"0.0 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 5th / 128th pick / 1976","ram",1987
"27755",19,"RILB","Jim Collins",29,"6",15,"1.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 2nd / 43rd pick / 1981","ram",1987
"27756",20,"ROLB","Mike Wilcher",27,"4",12,"5.0 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1987
"27757",21,"LCB","Jerry Gray*",25,"2",12,"0.0 sacks, 2 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1987
"27758",22,"RCB","LeRoy Irvin",30,"7",9,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980","ram",1987
"27759",23,"SS","Vince Newsome",26,"4",8,"0.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 4th / 97th pick / 1983","ram",1987
"27760",24,"FS","Nolan Cromwell",32,"10",8,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Los Angeles Rams / 2nd / 31st pick / 1977","ram",1987
"27761",26,"K","Mike Lansford",29,"5",0,"17 of 21 field goals & 36 of 38 extra points","New York Giants / 12th / 312th pick / 1980","ram",1987
"27762",27,"P","Dale Hatcher",24,"2",0,"76 punts for a 41.3 average, 1 blocked","Los Angeles Rams / 3rd / 77th pick / 1985","ram",1987
"27763",28,"PR","Henry Ellard",26,"4",12,"15 punt returns for a 7.1 average and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1987
"27764",29,"KR","Ron Brown",26,"3",11,"27 kick returns for a 21.5 average and 1 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1987
"27765",2,"QB","Jim Everett",25,"2",16,"308 for 517, 3,964 yards, 31 td, 18 int, & 34 rushes for 104 yards and 0 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1988
"27766",3,"RB","Greg Bell",26,"4",13,"288 rushes for 1,212 yards, 16 td, & 24 catches for 124 yards and 2 td","Buffalo Bills / 1st / 26th pick / 1984","ram",1988
"27767",4,"FB","Buford McGee",28,"4",10,"22 rushes for 69 yards, 0 td, & 16 catches for 117 yards and 3 td","San Diego Chargers / 11th / 286th pick / 1984","ram",1988
"27768",5,"WR","Aaron Cox",23,"Rook",15,"28 catches for 590 yards, 5 td","Los Angeles Rams / 1st / 20th pick / 1988","ram",1988
"27769",6,"WR","Henry Ellard*+",27,"5",15,"86 catches for 1,414 yards, 10 td, & 1 rush for 7 yards and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1988
"27770",7,"TE","Damone Johnson",26,"2",15,"42 catches for 350 yards, 6 td","Los Angeles Rams / 6th / 162nd pick / 1985","ram",1988
"27771",8,"LT","Irv Pankey",30,"8",16,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1988
"27772",9,"LG","Tom Newberry*+",26,"2",16,"","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1988
"27773",10,"C","Doug Smith*",32,"10",16,"","","ram",1988
"27774",11,"RG","Duval Love",25,"3",15,"1 fumble recovered","Los Angeles Rams / 10th / 274th pick / 1985","ram",1988
"27775",12,"RT","Jackie Slater*",34,"12",16,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1988
"27776",14,"LDE","Doug Reed",28,"4",15,"1.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1988
"27777",15,"NT","Alvin Wright",27,"2",15,"2.0 sacks, 0 interceptions, 0 fumbles recovered","","ram",1988
"27778",16,"RDE","Shawn Miller",27,"4",16,"4.0 sacks, 0 interceptions, 0 fumbles recovered","","ram",1988
"27779",17,"LOLB","Kevin Greene",26,"3",14,"16.5 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 5th / 113th pick / 1985","ram",1988
"27780",18,"LILB","Carl Ekern",34,"12",16,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 5th / 128th pick / 1976","ram",1988
"27781",19,"RILB","Mark Jerue",28,"5",11,"0.0 sacks, 1 interception, 0 fumbles recovered","New York Jets / 5th / 135th pick / 1982","ram",1988
"27782",20,"ROLB","Mike Wilcher",28,"5",15,"7.5 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1988
"27783",21,"LCB","Jerry Gray*",26,"3",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1988
"27784",22,"RCB","LeRoy Irvin",31,"8",16,"0.5 sacks, 3 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980","ram",1988
"27785",23,"SS","Michael Stewart",23,"1",10,"1.0 sacks, 2 interceptions, 2 fumbles recovered","Los Angeles Rams / 8th / 213th pick / 1987","ram",1988
"27786",24,"FS","Johnnie Johnson",32,"8",16,"0.0 sacks, 4 interceptions, 3 fumbles recovered","Los Angeles Rams / 1st / 17th pick / 1980","ram",1988
"27787",26,"K","Mike Lansford",30,"6",0,"24 of 32 field goals & 45 of 48 extra points","New York Giants / 12th / 312th pick / 1980","ram",1988
"27788",27,"P","Rich Camarillo",29,"7",0,"40 punts for a 39.5 average, 0 blocked","","ram",1988
"27789",28,"PR","Cliff Hicks",24,"1",0,"25 punt returns for a 5.8 average and 0 td","Los Angeles Rams / 3rd / 74th pick / 1987","ram",1988
"27790",29,"KR","Ron Brown",27,"4",0,"19 kick returns for a 21.1 average and 0 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1988
"27791",2,"QB","Jim Everett",26,"3",16,"304 for 518, 4,310 yards, 29 td, 17 int, & 25 rushes for 31 yards and 1 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1989
"27792",3,"RB","Greg Bell",27,"5",15,"272 rushes for 1,137 yards, 15 td, & 19 catches for 85 yards and 0 td","Buffalo Bills / 1st / 26th pick / 1984","ram",1989
"27793",4,"FB","Buford McGee",29,"5",13,"21 rushes for 99 yards, 1 td, & 37 catches for 303 yards and 4 td","San Diego Chargers / 11th / 286th pick / 1984","ram",1989
"27794",5,"WR","Flipper Anderson",24,"1",13,"44 catches for 1,146 yards, 5 td, & 1 rush for -1 yards and 0 td","Los Angeles Rams / 2nd / 46th pick / 1988","ram",1989
"27795",6,"WR","Henry Ellard*",28,"6",12,"70 catches for 1,382 yards, 8 td, & 2 rushes for 10 yards and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1989
"27796",7,"TE","Damone Johnson",27,"3",16,"25 catches for 148 yards, 5 td","Los Angeles Rams / 6th / 162nd pick / 1985","ram",1989
"27797",8,"LT","Irv Pankey",31,"9",14,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1989
"27798",9,"LG","Tom Newberry*+",27,"3",16,"","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1989
"27799",10,"C","Doug Smith*",33,"11",16,"","","ram",1989
"27800",11,"RG","Tony Slaton",28,"4",15,"","Buffalo Bills / 6th / 155th pick / 1984","ram",1989
"27801",12,"RT","Jackie Slater*",35,"13",16,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1989
"27802",14,"LDE","Doug Reed",29,"5",11,"3.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1989
"27803",15,"NT","Alvin Wright",28,"3",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","","ram",1989
"27804",16,"RDE","Shawn Miller",28,"5",11,"1.0 sacks, 1 interception, 0 fumbles recovered","","ram",1989
"27805",17,"LOLB","Kevin Greene*",27,"4",16,"16.5 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 5th / 113th pick / 1985","ram",1989
"27806",18,"LILB","Mel Owens",31,"8",11,"0.0 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 1st / 9th pick / 1981","ram",1989
"27807",19,"RILB","Fred Strickland",23,"1",12,"2.0 sacks, 2 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 47th pick / 1988","ram",1989
"27808",20,"ROLB","Mike Wilcher",29,"6",16,"5.0 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1989
"27809",21,"LCB","Jerry Gray*",27,"4",16,"0.0 sacks, 6 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1989
"27810",22,"RCB","LeRoy Irvin",32,"9",10,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980","ram",1989
"27811",23,"SS","Michael Stewart",24,"2",15,"0.0 sacks, 2 interceptions, 3 fumbles recovered","Los Angeles Rams / 8th / 213th pick / 1987","ram",1989
"27812",24,"FS","Vince Newsome",28,"6",16,"0.0 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 4th / 97th pick / 1983","ram",1989
"27813",26,"K","Mike Lansford",31,"7",0,"23 of 30 field goals & 51 of 51 extra points","New York Giants / 12th / 312th pick / 1980","ram",1989
"27814",27,"P","Dale Hatcher",26,"4",0,"73 punts for a 38.8 average, 1 blocked","Los Angeles Rams / 3rd / 77th pick / 1985","ram",1989
"27815",28,"PR","Darryl Henley",23,"Rook",0,"28 punt returns for a 9.5 average and 0 td","Los Angeles Rams / 2nd / 53rd pick / 1989","ram",1989
"27816",29,"KR","Ron Brown",28,"5",0,"47 kick returns for a 20.6 average and 0 td","Cleveland Browns / 2nd / 41st pick / 1983","ram",1989
"27817",2,"QB","Jim Everett*",27,"4",16,"307 for 554, 3,989 yards, 23 td, 17 int, & 20 rushes for 31 yards and 1 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1990
"27818",3,"RB","Cleveland Gary",24,"1",7,"204 rushes for 808 yards, 14 td, & 30 catches for 150 yards and 1 td","Los Angeles Rams / 1st / 26th pick / 1989","ram",1990
"27819",4,"FB","Buford McGee",30,"6",15,"44 rushes for 234 yards, 1 td, & 47 catches for 388 yards and 4 td","San Diego Chargers / 11th / 286th pick / 1984","ram",1990
"27820",5,"WR","Flipper Anderson",25,"2",11,"51 catches for 1,097 yards, 4 td, & 1 rush for 13 yards and 0 td","Los Angeles Rams / 2nd / 46th pick / 1988","ram",1990
"27821",6,"WR","Henry Ellard",29,"7",15,"76 catches for 1,294 yards, 4 td, & 2 rushes for 21 yards and 0 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1990
"27822",7,"TE","Pete Holohan",31,"9",10,"49 catches for 475 yards, 2 td","San Diego Chargers / 7th / 189th pick / 1981","ram",1990
"27823",8,"LT","Irv Pankey",32,"10",16,"","Los Angeles Rams / 2nd / 50th pick / 1980","ram",1990
"27824",9,"LG","Tom Newberry",28,"4",15,"","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1990
"27825",10,"C","Doug Smith",34,"12",16,"2 fumbles recovered","","ram",1990
"27826",11,"RG","Duval Love",27,"5",16,"2 fumbles recovered","Los Angeles Rams / 10th / 274th pick / 1985","ram",1990
"27827",12,"RT","Jackie Slater*",36,"14",15,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1990
"27828",14,"LDE","Doug Reed",30,"6",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 4th / 111th pick / 1983","ram",1990
"27829",15,"NT","Alvin Wright",29,"4",16,"1.0 sacks, 0 interceptions, 1 fumble recovered","","ram",1990
"27830",16,"RDE","Mike Piel",25,"1",11,"5.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 3rd / 82nd pick / 1988","ram",1990
"27831",17,"LOLB","Kevin Greene",28,"5",15,"13.0 sacks, 0 interceptions, 4 fumbles recovered","Los Angeles Rams / 5th / 113th pick / 1985","ram",1990
"27832",18,"LILB","Larry Kelm",26,"3",10,"","Los Angeles Rams / 4th / 108th pick / 1987","ram",1990
"27833",19,"RILB","Frank Stams",25,"1",13,"","Los Angeles Rams / 2nd / 45th pick / 1989","ram",1990
"27834",20,"ROLB","Mike Wilcher",30,"7",15,"1.0 sacks, 0 interceptions, 4 fumbles recovered","Los Angeles Rams / 2nd / 36th pick / 1983","ram",1990
"27835",21,"LCB","Jerry Gray",28,"5",12,"0.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1990
"27836",22,"RCB","Bobby Humphery",29,"6",10,"0.0 sacks, 4 interceptions, 2 fumbles recovered","New York Jets / 9th / 247th pick / 1983","ram",1990
"27837",23,"SS","Vince Newsome",29,"7",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Los Angeles Rams / 4th / 97th pick / 1983","ram",1990
"27838",24,"FS","Michael Stewart",25,"3",11,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 8th / 213th pick / 1987","ram",1990
"27839",26,"K","Mike Lansford",32,"8",0,"15 of 24 field goals & 42 of 43 extra points","New York Giants / 12th / 312th pick / 1980","ram",1990
"27840",27,"P","Keith English",24,"Rook",0,"68 punts for a 39.2 average, 1 blocked","","ram",1990
"27841",28,"PR","Darryl Henley",24,"1",6,"19 punt returns for a 10.3 average and 0 td","Los Angeles Rams / 2nd / 53rd pick / 1989","ram",1990
"27842",29,"KR","Gaston Green",24,"2",2,"25 kick returns for a 22.4 average and 1 td","Los Angeles Rams / 1st / 14th pick / 1988","ram",1990
"27843",2,"QB","Jim Everett",28,"5",16,"277 for 490, 3,438 yards, 11 td, 20 int, & 27 rushes for 44 yards and 0 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1991
"27844",3,"RB","Robert Delpino",26,"3",15,"214 rushes for 688 yards, 9 td, & 55 catches for 617 yards and 1 td","Los Angeles Rams / 5th / 117th pick / 1988","ram",1991
"27845",4,"WR","Flipper Anderson",26,"3",10,"32 catches for 530 yards, 1 td","Los Angeles Rams / 2nd / 46th pick / 1988","ram",1991
"27846",5,"WR","Henry Ellard",30,"8",16,"64 catches for 1,052 yards, 3 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1991
"27847",6,"TE","Damone Johnson",29,"5",16,"32 catches for 253 yards, 2 td","Los Angeles Rams / 6th / 162nd pick / 1985","ram",1991
"27848",7,"TE","Jim Price",25,"Rook",6,"35 catches for 410 yards, 2 td","","ram",1991
"27849",8,"LT","Gerald Perry",27,"3",9,"","Denver Broncos / 2nd / 45th pick / 1988","ram",1991
"27850",9,"LG","Bern Brostek",25,"1",8,"","Los Angeles Rams / 1st / 23rd pick / 1990","ram",1991
"27851",10,"C","Tom Newberry",29,"5",16,"","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1991
"27852",11,"RG","Duval Love",28,"6",13,"2 fumbles recovered","Los Angeles Rams / 10th / 274th pick / 1985","ram",1991
"27853",12,"RT","Jackie Slater",37,"15",13,"","Los Angeles Rams / 3rd / 86th pick / 1976","ram",1991
"27854",14,"LDE","Karl Wilson",27,"4",10,"2.0 sacks, 0 interceptions, 0 fumbles recovered","San Diego Chargers / 3rd / 59th pick / 1987","ram",1991
"27855",15,"LDT","Alvin Wright",30,"5",11,"","","ram",1991
"27856",16,"RDT","Robert Young",22,"Rook",13,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 5th / 116th pick / 1991","ram",1991
"27857",17,"RDE","Kevin Greene",29,"6",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 5th / 113th pick / 1985","ram",1991
"27858",18,"LLB","Brett Faryniarz",26,"3",7,"0.0 sacks, 0 interceptions, 1 fumble recovered","","ram",1991
"27859",19,"MLB","Larry Kelm",27,"4",15,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 4th / 108th pick / 1987","ram",1991
"27860",20,"RLB","Fred Strickland",25,"3",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 2nd / 47th pick / 1988","ram",1991
"27861",21,"LCB","Jerry Gray",29,"6",9,"0.0 sacks, 3 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1985","ram",1991
"27862",22,"RCB","Darryl Henley",25,"2",15,"0.0 sacks, 3 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 53rd pick / 1989","ram",1991
"27863",23,"SS","Michael Stewart",26,"4",16,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Los Angeles Rams / 8th / 213th pick / 1987","ram",1991
"27864",24,"FS","Pat Terrell",23,"1",16,"0.0 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 2nd / 49th pick / 1990","ram",1991
"27865",26,"K","Tony Zendejas",31,"6",0,"17 of 17 field goals & 25 of 26 extra points","Washington Redskins / 1st / 27th pick / 1984 Supp","ram",1991
"27866",27,"P","Dale Hatcher",28,"6",0,"63 punts for a 38.1 average, 0 blocked","Los Angeles Rams / 3rd / 77th pick / 1985","ram",1991
"27867",28,"PR","Vernon Turner",24,"1",0,"23 punt returns for a 8.7 average and 0 td","","ram",1991
"27868",29,"KR","Vernon Turner",24,"1",0,"24 kick returns for a 19.0 average and 0 td","","ram",1991
"27869",2,"QB","Jim Everett",29,"6",16,"281 for 475, 3,323 yards, 22 td, 18 int, & 32 rushes for 133 yards and 0 td","Houston Oilers / 1st / 3rd pick / 1986","ram",1992
"27870",3,"RB","Cleveland Gary",26,"3",16,"279 rushes for 1,125 yards, 7 td, & 52 catches for 293 yards and 3 td","Los Angeles Rams / 1st / 26th pick / 1989","ram",1992
"27871",4,"FB","David Lang",24,"1",11,"33 rushes for 203 yards, 5 td, & 18 catches for 283 yards and 1 td","Los Angeles Rams / 12th / 328th pick / 1990","ram",1992
"27872",5,"WR","Flipper Anderson",27,"4",9,"38 catches for 657 yards, 7 td","Los Angeles Rams / 2nd / 46th pick / 1988","ram",1992
"27873",6,"WR","Henry Ellard",31,"9",15,"47 catches for 727 yards, 3 td","Los Angeles Rams / 2nd / 32nd pick / 1983","ram",1992
"27874",7,"TE","Pat Carter",26,"4",16,"20 catches for 232 yards, 3 td","Detroit Lions / 2nd / 32nd pick / 1988","ram",1992
"27875",8,"LT","Gerald Perry",28,"4",16,"","Denver Broncos / 2nd / 45th pick / 1988","ram",1992
"27876",9,"LG","Tom Newberry",30,"6",16,"1 fumble recovered","Los Angeles Rams / 2nd / 50th pick / 1986","ram",1992
