"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"14657",6,"WR","Anthony Miller",32,"9",16,"46 catches for 645 yards, 4 td, & 1 rush for 6 yards and 0 td","San Diego Chargers / 1st / 15th pick / 1988","dal",1997
"14658",7,"TE","Eric Bjornson",26,"2",14,"47 catches for 442 yards, 0 td","Dallas Cowboys / 4th / 110th pick / 1995","dal",1997
"14659",8,"LT","George Hegamin",24,"3",9,"1 fumble recovered","Dallas Cowboys / 3rd / 102nd pick / 1994","dal",1997
"14660",9,"LG","Nate Newton",36,"11",13,"1 fumble recovered","","dal",1997
"14661",10,"C","Clay Shiver",25,"1",16,"1 fumble recovered","Dallas Cowboys / 3rd / 67th pick / 1996","dal",1997
"14662",11,"RG","Larry Allen*+",26,"3",16,"","Dallas Cowboys / 2nd / 46th pick / 1994","dal",1997
"14663",12,"RT","Erik Williams*",29,"6",15,"","Dallas Cowboys / 3rd / 70th pick / 1991","dal",1997
"14664",14,"LDE","Tony Tolbert",30,"8",16,"5.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 4th / 85th pick / 1989","dal",1997
"14665",15,"LDT","Tony Casillas",34,"11",14,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Atlanta Falcons / 1st / 2nd pick / 1986","dal",1997
"14666",16,"RDT","Chad Hennings",32,"5",10,"4.5 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 11th / 290th pick / 1988","dal",1997
"14667",17,"RDE","Shante Carver",26,"3",16,"6.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 23rd pick / 1994","dal",1997
"14668",18,"LLB","Randall Godfrey",24,"1",16,"1.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 2nd / 49th pick / 1996","dal",1997
"14669",19,"MLB","Fred Strickland",31,"9",14,"0.5 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 2nd / 47th pick / 1988","dal",1997
"14670",20,"RLB","Dexter Coakley",25,"Rook",16,"2.5 sacks, 1 interception, 1 fumble recovered","Dallas Cowboys / 3rd / 65th pick / 1997","dal",1997
"14671",21,"LCB","Kevin Smith",27,"5",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 1st / 17th pick / 1992","dal",1997
"14672",22,"RCB","Deion Sanders*+",30,"8",12,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Atlanta Falcons / 1st / 5th pick / 1989","dal",1997
"14673",23,"SS","Darren Woodson*",28,"5",14,"2.0 sacks, 1 interception, 2 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1992","dal",1997
"14674",24,"FS","Brock Marion",27,"4",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 7th / 196th pick / 1993","dal",1997
"14675",26,"K","Richie Cunningham+",27,"Rook",0,"34 of 37 field goals & 24 of 24 extra points","","dal",1997
"14676",27,"P","Toby Gowin",22,"Rook",0,"86 punts for a 41.8 average, 0 blocked","","dal",1997
"14677",28,"PR","Deion Sanders*+",30,"8",12,"33 punt returns for a 12.3 average and 1 td","Atlanta Falcons / 1st / 5th pick / 1989","dal",1997
"14678",29,"KR","Herschel Walker",35,"11",6,"50 kick returns for a 23.3 average and 0 td","Dallas Cowboys / 5th / 114th pick / 1985","dal",1997
"14679",2,"QB","Troy Aikman",32,"9",11,"187 for 315, 2,330 yards, 12 td, 5 int, & 22 rushes for 69 yards and 2 td","Dallas Cowboys / 1st / 1st pick / 1989","dal",1998
"14680",3,"RB","Emmitt Smith*",29,"8",16,"319 rushes for 1,332 yards, 13 td, & 27 catches for 175 yards and 2 td","Dallas Cowboys / 1st / 17th pick / 1990","dal",1998
"14681",4,"FB","Daryl Johnston",32,"9",13,"8 rushes for 17 yards, 0 td, & 18 catches for 60 yards and 1 td","Dallas Cowboys / 2nd / 39th pick / 1989","dal",1998
"14682",5,"WR","Billy Davis",26,"3",11,"39 catches for 691 yards, 3 td, & 4 rushes for 15 yards and 0 td","","dal",1998
"14683",6,"WR","Michael Irvin",32,"10",15,"74 catches for 1,057 yards, 1 td, & 1 rush for 1 yards and 0 td","Dallas Cowboys / 1st / 11th pick / 1988","dal",1998
"14684",7,"TE","David LaFleur",24,"1",13,"20 catches for 176 yards, 2 td","Dallas Cowboys / 1st / 22nd pick / 1997","dal",1998
"14685",8,"LT","Larry Allen*+",27,"4",16,"","Dallas Cowboys / 2nd / 46th pick / 1994","dal",1998
"14686",9,"LG","Nate Newton*",37,"12",16,"","","dal",1998
"14687",10,"C","Clay Shiver",26,"2",9,"","Dallas Cowboys / 3rd / 67th pick / 1996","dal",1998
"14688",11,"RG","Flozell Adams",23,"Rook",12,"1 fumble recovered","Dallas Cowboys / 2nd / 38th pick / 1998","dal",1998
"14689",12,"RT","Erik Williams",30,"7",15,"","Dallas Cowboys / 3rd / 70th pick / 1991","dal",1998
"14690",14,"LDE","Kavika Pittman",24,"2",15,"6.0 sacks, 0 interceptions, 2 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1996","dal",1998
"14691",15,"LDT","Leon Lett*",30,"7",15,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 7th / 173rd pick / 1991","dal",1998
"14692",16,"RDT","Chad Hennings",33,"6",16,"1.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 11th / 290th pick / 1988","dal",1998
"14693",17,"RDE","Greg Ellis",23,"Rook",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 1st / 8th pick / 1998","dal",1998
"14694",18,"LLB","Randall Godfrey",25,"2",16,"3.0 sacks, 1 interception, 1 fumble recovered","Dallas Cowboys / 2nd / 49th pick / 1996","dal",1998
"14695",19,"MLB","Fred Strickland",32,"10",15,"","Los Angeles Rams / 2nd / 47th pick / 1988","dal",1998
"14696",20,"RLB","Dexter Coakley",26,"1",16,"2.0 sacks, 1 interception, 1 fumble recovered","Dallas Cowboys / 3rd / 65th pick / 1997","dal",1998
"14697",21,"LCB","Kevin Smith",28,"6",14,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 17th pick / 1992","dal",1998
"14698",22,"RCB","Deion Sanders*+",31,"9",11,"0.0 sacks, 5 interceptions, 1 fumble recovered","Atlanta Falcons / 1st / 5th pick / 1989","dal",1998
"14699",23,"SS","Darren Woodson*",29,"6",15,"3.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1992","dal",1998
